"Title","Description","Task"
"Derrick Operators, Oil and Gas","Rig derrick equipment and operate pumps to circulate mud or fluid through drill hole.","Inspect derricks, or order their inspection, prior to being raised or lowered.; Inspect derricks for flaws, and clean and oil derricks to maintain proper working conditions.; Control the viscosity and weight of the drilling fluid.; Repair pumps, mud tanks, and related equipment.; Set and bolt crown blocks to posts at tops of derricks.; Listen to mud pumps and check regularly for vibration and other problems to ensure that rig pumps and drilling mud systems are working properly.; Start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out drill cuttings.; Position and align derrick elements, using harnesses and platform climbing devices.; Supervise crew members, and provide assistance in training them.; Guide lengths of pipe into and out of elevators.; Prepare mud reports, and instruct crews about the handling of any chemical additives.; Clamp holding fixtures on ends of hoisting cables.; Weigh clay, and mix with water and chemicals to make drilling mud, using portable mixers.; String cables through pulleys and blocks.; Steady pipes during connection to or disconnection from drill or casing strings."
"Desktop Publishers","Format typescript and graphic elements using computer software to produce publication-ready material.","Operate desktop publishing software and equipment to design, lay out, and produce camera-ready copy.; Position text and art elements from a variety of databases in a visually appealing way to design print or web pages, using knowledge of type styles and size and layout patterns.; Check preliminary and final proofs for errors and make necessary corrections.; View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.; Enter text into computer keyboard and select the size and style of type, column width, and appropriate spacing for printed materials.; Prepare sample layouts for approval, using computer software.; Import text and art elements, such as electronic clip art or electronic files from photographs that have been scanned or produced with a digital camera, using computer software.; Study layout or other design instructions to determine work to be done and sequence of operations.; Select number of colors and determine color separations.; Convert various types of files for printing or for the Internet, using computer software.; Enter digitized data into electronic prepress system computer memory, using scanner, camera, keyboard, or mouse.; Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.; Enter data, such as coordinates of images and color specifications, into system to retouch and make color corrections."
"Detectives and Criminal Investigators","Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.","Check victims for signs of life, such as breathing and pulse.; Obtain facts or statements from complainants, witnesses, and accused persons and record interviews, using recording device.; Secure deceased body and obtain evidence from it, preventing bystanders from tampering with it prior to medical examiner's arrival.; Record progress of investigation, maintain informational files on suspects, and submit reports to commanding officer or magistrate to authorize warrants.; Prepare reports that detail investigation findings.; Prepare charges or responses to charges, or information for court cases, according to formalized procedures.; Preserve, process, and analyze items of evidence obtained from crime scenes and suspects, placing them in proper containers and destroying evidence no longer needed.; Obtain summary of incident from officer in charge at crime scene, taking care to avoid disturbing evidence.; Note, mark, and photograph location of objects found, such as footprints, tire tracks, bullets and bloodstains, and take measurements of the scene.; Examine records and governmental agency files to find identifying data about suspects.; Secure persons at scene, keeping witnesses from conversing or leaving the scene before investigators arrive.; Provide information to lab personnel concerning the source of an item of evidence and tests to be performed.; Analyze completed police reports to determine what additional information and investigative work is needed.; Examine records to locate links in chains of evidence or information.; Search for and collect evidence, such as fingerprints, using investigative equipment.; Prepare and serve search and arrest warrants.; Question individuals or observe persons and establishments to confirm information given to patrol officers.; Determine scope, timing, and direction of investigations.; Obtain and verify evidence by interviewing and observing suspects and witnesses or by analyzing records.; Participate or assist in raids and arrests.; Organize scene search, assigning specific tasks and areas of search to individual officers and obtaining adequate lighting as necessary.; Summon medical help for injured individuals and alert medical personnel to take statements from them.; Notify command of situation and request assistance.; Block or rope off scene and check perimeter to ensure that entire scene is secured.; Identify case issues and evidence needed, based on analysis of charges, complaints, or allegations of law violations.; Notify, or request notification of, medical examiner or district attorney representative.; Collaborate with other offices and agencies to exchange information and coordinate activities.; Maintain surveillance of establishments to obtain identifying information on suspects.; Testify before grand juries concerning criminal activity investigations.; Perform undercover assignments and maintain surveillance, including monitoring authorized wiretaps."
"Diagnostic Medical Sonographers","Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.","Observe screen during scan to ensure that image produced is satisfactory for diagnostic purposes, making adjustments to equipment as required.; Observe and care for patients throughout examinations to ensure their safety and comfort.; Provide sonogram and oral or written summary of technical findings to physician for use in medical diagnosis.; Select appropriate equipment settings and adjust patient positions to obtain the best sites and angles.; Operate ultrasound equipment to produce and record images of the motion, shape, and composition of blood, organs, tissues, or bodily masses, such as fluid accumulations.; Decide which images to include, looking for differences between healthy and pathological areas.; Prepare patient for exam by explaining procedure, transferring patient to ultrasound table, scrubbing skin and applying gel, and positioning patient properly.; Determine whether scope of exam should be extended, based on findings.; Obtain and record accurate patient history, including prior test results or information from physical examinations.; Maintain records that include patient information, sonographs and interpretations, files of correspondence, publications and regulations, or quality assurance records, such as pathology, biopsy, or post-operative reports.; Record and store suitable images, using camera unit connected to the ultrasound equipment.; Coordinate work with physicians or other healthcare team members, including providing assistance during invasive procedures.; Clean, check, and maintain sonographic equipment, submitting maintenance requests or performing minor repairs as necessary.; Perform clerical duties, such as scheduling exams or special procedures, keeping records, or archiving computerized images.; Perform legal and ethical duties, including preparing safety or accident reports, obtaining written consent from patient to perform invasive procedures, or reporting symptoms of abuse or neglect.; Supervise or train students or other medical sonographers.; Perform medical procedures, such as administering oxygen, inserting and removing airways, taking vital signs, or giving emergency treatment, such as first aid or cardiopulmonary resuscitation (CPR).; Maintain stock and supplies, preparing supplies for special examinations and ordering supplies when necessary."
"Dietetic Technicians","Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals.","Observe and monitor patient food intake and body weight, and report changes, progress, and dietary problems to dietician.; Conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.; Prepare a major meal, following recipes and determining group food quantities.; Supervise food production or service or assist dietitians or nutritionists in food service supervision or planning.; Plan menus or diets or guide individuals or families in food selection, preparation, or menu planning, based upon nutritional needs and established guidelines.; Develop job specifications, job descriptions, or work schedules.; Attend interdisciplinary meetings with other health care professionals to discuss patient care.; Provide dietitians with assistance researching food, nutrition, or food service systems.; Select, schedule, or conduct orientation or in-service education programs.; Analyze menus or recipes, standardize recipes, or test new products."
"Dietitians and Nutritionists","Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research.","Assess nutritional needs, diet restrictions, and current health plans to develop and implement dietary-care plans and provide nutritional counseling.; Evaluate laboratory tests in preparing nutrition recommendations.; Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life.; Advise patients and their families on nutritional principles, dietary plans, diet modifications, and food selection and preparation.; Incorporate patient cultural, ethnic, or religious preferences and needs in the development of nutrition plans.; Consult with physicians and health care personnel to determine nutritional needs and diet restrictions of patient or client.; Record and evaluate patient and family health and food history, including symptoms, environmental toxic exposure, allergies, medication factors, and preventive health-care measures.; Develop recipes and menus to address special nutrition needs, such as low glycemic, low histamine, or gluten- or allergen-free.; Coordinate diet counseling services.; Develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching.; Plan, conduct, and evaluate dietary, nutritional, and epidemiological research.; Plan and conduct training programs in dietetics, nutrition, and institutional management and administration for medical students, health-care personnel, and the general public.; Write research reports and other publications to document and communicate research findings."
"Dining Room and Cafeteria Attendants and Bartender Helpers","Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons.","Run cash registers.; Serve ice water, coffee, rolls, or butter to patrons.; Scrape and stack dirty dishes and carry dishes and other tableware to kitchens for cleaning.; Wipe tables or seats with dampened cloths or replace dirty tablecloths.; Set tables with clean linens, condiments, or other supplies.; Greet and seat customers.; Clean up spilled food or drink or broken dishes and remove empty bottles and trash.; Maintain adequate supplies of items, such as clean linens, silverware, glassware, dishes, or trays.; Locate items requested by customers.; Fill beverage or ice dispensers.; Carry food, dishes, trays, or silverware from kitchens or supply departments to serving counters.; Perform serving, cleaning, or stocking duties in establishments, such as cafeterias or dining rooms, to facilitate customer service.; Carry trays from food counters to tables for cafeteria patrons.; Stock cabinets or serving areas with condiments and refill condiment containers.; Serve food to customers when waiters or waitresses need assistance.; Clean and polish counters, shelves, walls, furniture, or equipment in food service areas or other areas of restaurants and mop or vacuum floors."
"Directors, Religious Activities and Education","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.","Develop or direct study courses or religious education programs within congregations.; Identify and recruit potential volunteer workers.; Select appropriate curricula or class structures for educational programs.; Schedule special events, such as camps, conferences, meetings, seminars, or retreats.; Counsel individuals regarding interpersonal, health, financial, or religious problems.; Collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.; Train and supervise religious education instructional staff.; Implement program plans by ordering needed materials, scheduling speakers, reserving space, or handling other administrative details.; Analyze member participation or changes in congregational emphasis to determine needs for religious education.; Analyze revenue and program cost data to determine budget priorities.; Attend workshops, seminars, or conferences to obtain program ideas, information, or resources.; Visit congregational members' homes or arrange for pastoral visits to provide information or resources regarding religious education programs.; Publicize programs through sources, such as newsletters, bulletins, or mailings.; Confer with clergy members, congregational officials, or congregational organizations to encourage support of or participation in religious education activities.; Plan fundraising activities for the church.; Locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.; Participate in denominational activities aimed at goals, such as promoting interfaith understanding or providing aid to new or small congregations."
"Dishwashers","Clean dishes, kitchen, food preparation equipment, or utensils.","Wash dishes, glassware, flatware, pots, or pans, using dishwashers or by hand.; Place clean dishes, utensils, or cooking equipment in storage areas.; Sort and remove trash, placing it in designated pickup areas.; Sweep or scrub floors.; Maintain kitchen work areas, equipment, or utensils in clean and orderly condition.; Clean garbage cans with water or steam.; Receive and store supplies.; Stock supplies, such as food or utensils, in serving stations, cupboards, refrigerators, or salad bars.; Transfer supplies or equipment between storage and work areas, by hand or using hand trucks."
"Dispatchers, Except Police, Fire, and Ambulance","Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.","Schedule or dispatch workers, work crews, equipment, or service vehicles to appropriate locations, according to customer requests, specifications, or needs, using radios or telephones.; Prepare daily work and run schedules.; Confer with customers or supervising personnel to address questions, problems, or requests for service or equipment.; Relay work orders, messages, or information to or from work crews, supervisors, or field inspectors, using telephones or two-way radios.; Receive or prepare work orders.; Record and maintain files or records of customer requests, work or services performed, charges, expenses, inventory, or other dispatch information.; Arrange for necessary repairs to restore service and schedules.; Monitor personnel or equipment locations and utilization to coordinate service and schedules.; Determine types or amounts of equipment, vehicles, materials, or personnel required, according to work orders or specifications.; Advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards."
"Document Management Specialists","Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.","Assist in determining document management policies to facilitate efficient, legal, and secure access to electronic content.; Assist in the development of document or content classification taxonomies to facilitate information capture, search, and retrieval.; Implement electronic document processing, retrieval, and distribution systems in collaboration with other information technology specialists.; Identify and classify documents or other electronic content according to characteristics such as security level, function, and metadata.; Develop, document, or maintain standards, best practices, or system usage procedures.; Assist in the assessment, acquisition, or deployment of new electronic document management systems.; Administer document and system access rights and revision control to ensure security of system and integrity of master documents.; Prepare and record changes to official documents and confirm changes with legal and compliance management staff, including enterprise-wide records management staff.; Write, review, or execute plans for testing new or established document management systems.; Monitor regulatory activity to maintain compliance with records and document management laws.; Retrieve electronic assets from repository for distribution to users, collecting and returning to repository, if necessary.; Keep abreast of developments in document management technologies and techniques by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.; Conduct needs assessments to identify document management requirements of departments or end users.; Develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.; Document technical functions and specifications for new or proposed content management systems.; Exercise security surveillance over document processing, reproduction, distribution, storage, or archiving.; Consult with end users regarding problems in accessing electronic content.; Propose recommendations for improving content management system capabilities.; Operate data capture technology to import digitized documents into document management system.; Prepare support documentation and training materials for end users of document management systems.; Search electronic sources, such as databases or repositories, or manual sources for information.; Implement scanning or other automated data entry procedures, using imaging devices and document imaging software."
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Sell goods or services door-to-door or on the street.","Explain products or services and prices and demonstrate use of products.; Develop prospect lists.; Deliver merchandise and collect payment.; Write and record orders for merchandise or enter orders into computers.; Arrange buying parties and solicit sponsorship of such parties to sell merchandise.; Answer questions about product features and benefits.; Distribute product samples or literature that details products or services.; Circulate among potential customers or travel by foot, truck, automobile, or bicycle to deliver or sell merchandise or services.; Persuade customers to purchase merchandise or services.; Set up and display sample merchandise at parties or stands.; Order or purchase supplies."
"Dredge Operators","Operate dredge to remove sand, gravel, or other materials in order to excavate and maintain navigable channels in waterways.","Move levers to position dredges for excavation, to engage hydraulic pumps, to raise and lower suction booms, and to control rotation of cutterheads.; Start and stop engines to operate equipment.; Start power winches that draw in or let out cables to change positions of dredges, or pull in and let out cables manually.; Pump water to clear machinery pipelines.; Lower anchor poles to verify depths of excavations, using winches, or scan depth gauges to determine depths of excavations.; Direct or assist workers placing shore anchors and cables, laying additional pipes from dredges to shore, and pumping water from pontoons."
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.","Verify conformance of machined work to specifications, using measuring instruments, such as calipers, micrometers, or fixed or telescoping gauges.; Study machining instructions, job orders, or blueprints to determine dimensional or finish specifications, sequences of operations, setups, or tooling requirements.; Move machine controls to lower tools to workpieces and to engage automatic feeds.; Verify that workpiece reference lines are parallel to the axis of table rotation, using dial indicators mounted in spindles.; Establish zero reference points on workpieces, such as at the intersections of two edges or over hole locations.; Change worn cutting tools, using wrenches.; Select and set cutting speeds, feed rates, depths of cuts, and cutting tools, according to machining instructions or knowledge of metal properties.; Position and secure workpieces on tables, using bolts, jigs, clamps, shims, or other holding devices.; Observe drilling or boring machine operations to detect any problems.; Lift workpieces onto work tables either manually or with hoists or direct crane operators to lift and position workpieces.; Turn valves and direct flow of coolants or cutting oil over cutting areas.; Install tools in spindles.; Perform minor assembly, such as fastening parts with nuts, bolts, or screws, using power tools or hand tools.; Operate single- or multiple-spindle drill presses to bore holes so that machining operations can be performed on metal or plastic workpieces.; Lay out reference lines and machining locations on work, using layout tools, and applying knowledge of shop math and layout techniques.; Sharpen cutting tools, using bench grinders."
"Driver/Sales Workers","Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.","Drive trucks to deliver such items as food, medical supplies, or newspapers.; Inform regular customers of new products or services and price changes.; Record sales or delivery information on daily sales or delivery record.; Listen to and resolve customers' complaints regarding products or services.; Collect money from customers, make change, and record transactions on customer receipts.; Maintain trucks and food-dispensing equipment and clean inside of machines that dispense food or beverages."
"Drywall and Ceiling Tile Installers","Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings, or partitions of buildings to provide support base for plaster, fireproofing, or acoustical material.","Read blueprints or other specifications to determine methods of installation, work procedures, or material or tool requirements.; Measure and mark surfaces to lay out work, according to blueprints or drawings, using tape measures, straightedges or squares, and marking devices.; Fit and fasten wallboard or drywall into position on wood or metal frameworks, using glue, nails, or screws.; Measure and cut openings in panels or tiles for electrical outlets, windows, vents, plumbing, or other fixtures, using keyhole saws or other cutting tools.; Assemble or install metal framing or decorative trim for windows, doorways, or vents.; Cut metal or wood framing and trim to size, using cutting tools.; Inspect furrings, mechanical mountings, or masonry surfaces for plumbness and level, using spirit or water levels.; Cut fixture or border tiles to size, using keyhole saws, and insert them into surrounding frameworks.; Cut and screw together metal channels to make floor or ceiling frames, according to plans for the location of rooms or hallways.; Hang drywall panels on metal frameworks of walls and ceilings in offices, schools, or other large buildings, using lifts or hoists to adjust panel heights, when necessary.; Trim rough edges from wallboard to maintain even joints, using knives.; Suspend angle iron grids or channel irons from ceilings, using wire.; Coordinate work with drywall finishers who cover the seams between drywall panels.; Install horizontal and vertical metal or wooden studs to frames so that wallboard can be attached to interior walls.; Scribe and cut edges of tile to fit walls where wall molding is not specified.; Hang dry lines to wall moldings to guide positioning of main runners.; Fasten metal or rockboard lath to the structural framework of walls, ceilings, or partitions of buildings, using nails, screws, staples, or wire-ties.; Install blanket insulation between studs and tack plastic moisture barriers over insulation.; Seal joints between ceiling tiles and walls.; Remove existing plaster, drywall, or paneling, using crowbars and hammers.; Apply or mount acoustical tile or blocks, strips, or sheets of shock-absorbing materials to ceilings or walls of buildings to reduce reflection of sound or to decorate rooms.; Mount tile, using adhesives, or by nailing, screwing, stapling, or wire-tying lath directly to structural frameworks."
"Earth Drillers, Except Oil and Gas","Operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators.","Operate controls to stabilize machines and to position and align drills.; Start, stop, and control drilling speed of machines and insertion of casings into holes.; Regulate air pressure, rotary speed, and downward pressure, according to the type of rock or concrete being drilled.; Select and attach drill bits and drill rods, adding more rods as hole depths increase, and changing drill bits as needed.; Drive or guide truck-mounted equipment into position, level and stabilize rigs, and extend telescoping derricks.; Operate machines to flush earth cuttings or to blow dust from holes.; Verify depths and alignments of boring positions.; Perform routine maintenance and upgrade work on machines and equipment, such as replacing parts, building up drill bits, and lubricating machinery.; Select the appropriate drill for the job, using knowledge of rock or soil conditions.; Document geological formations encountered during work.; Drive trucks, tractors, or truck-mounted drills to and from work sites.; Assemble and position machines, augers, casing pipes, and other equipment, using hand and power tools.; Record drilling progress and geological data.; Retrieve lost equipment from bore holes, using retrieval tools and equipment."
"Economics Teachers, Postsecondary","Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Prepare and deliver lectures to undergraduate or graduate students on topics such as econometrics, price theory, and macroeconomics.; Prepare course materials, such as syllabi, homework assignments, and handouts.; Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.; Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Evaluate and grade students' class work, assignments, and papers.; Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.; Compile, administer, and grade examinations, or assign this work to others.; Maintain student attendance records, grades, and other required records.; Initiate, facilitate, and moderate classroom discussions.; Supervise undergraduate or graduate teaching, internship, and research work.; Maintain regularly scheduled office hours to advise and assist students.; Advise students on academic and vocational curricula and on career issues.; Collaborate with colleagues to address teaching and research issues.; Select and obtain materials and supplies, such as textbooks.; Perform administrative duties, such as serving as department head.; Participate in student recruitment, registration, and placement activities.; Compile bibliographies of specialized materials for outside reading assignments.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Write grant proposals to procure external research funding."
"Economists","Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.","Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.; Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.; Study the socioeconomic impacts of new public policies, such as proposed legislation, taxes, services, and regulations.; Explain economic impact of policies to the public.; Review documents written by others.; Provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.; Formulate recommendations, policies, or plans to solve economic problems or to interpret markets.; Supervise research projects and students' study projects.; Conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals.; Develop economic guidelines and standards, and prepare points of view used in forecasting trends and formulating economic policy.; Teach theories, principles, and methods of economics.; Testify at regulatory or legislative hearings concerning the estimated effects of changes in legislation or public policy, and present recommendations based on cost-benefit analyses.; Provide litigation support, such as writing reports for expert testimony or testifying as an expert witness."
"Editors","Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.","Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.; Verify facts, dates, and statistics, using standard reference sources.; Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.; Develop story or content ideas, considering reader or audience appeal.; Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.; Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements.; Write text, such as stories, articles, editorials, or newsletters.; Supervise and coordinate work of reporters and other editors.; Confer with management and editorial staff members regarding placement and emphasis of developing news stories.; Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.; Review and approve proofs submitted by composing room prior to publication production.; Assign topics, events and stories to individual writers or reporters for coverage.; Meet frequently with artists, typesetters, layout personnel, marketing directors, and production managers to discuss projects and resolve problems."
"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","Evaluate curricula, teaching methods, and programs to determine their effectiveness, efficiency, and use, and to ensure compliance with federal, state, and local regulations.; Observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas for improvement.; Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.; Collaborate with teachers to develop and maintain curriculum standards, develop mission statements, and set performance goals and objectives.; Direct and coordinate activities of teachers, administrators, and support staff at schools, public agencies, and institutions.; Recruit, hire, train, and evaluate primary and supplemental staff.; Confer with parents and staff to discuss educational activities, policies, and student behavior or learning problems.; Enforce discipline and attendance rules.; Create school improvement plans, using student performance data.; Set educational standards and goals, and help establish policies and procedures to carry them out.; Plan and lead professional development activities for teachers, administrators, and support staff.; Participate in special education-related activities, such as attending meetings and providing support to special educators throughout the district.; Plan and develop instructional methods and content for educational, vocational, or student activity programs.; Determine the scope of educational program offerings, and prepare drafts of course schedules and descriptions to estimate staffing and facility requirements.; Prepare and submit budget requests and recommendations, or grant proposals to solicit program funding.; Recommend personnel actions related to programs and services.; Review and approve new programs, or recommend modifications to existing programs, submitting program proposals for school board approval as necessary.; Develop partnerships with businesses, communities, and other organizations to help meet identified educational needs and to provide school-to-work programs.; Review and interpret government codes, and develop programs to ensure adherence to codes and facility safety, security, and maintenance.; Determine allocations of funds for staff, supplies, materials, and equipment, and authorize purchases.; Direct and coordinate school maintenance services and the use of school facilities.; Organize and direct committees of specialists, volunteers, and staff to provide technical and advisory assistance for programs.; Prepare, maintain, or oversee the preparation and maintenance of attendance, activity, planning, or personnel reports and records."
"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Design or use assessments to monitor student learning outcomes.; Recruit, hire, train, and terminate departmental personnel.; Direct, coordinate, and evaluate the activities of personnel, including support staff engaged in administering academic institutions, departments, or alumni organizations.; Advise students on issues such as course selection, progress toward graduation, and career decisions.; Plan, administer, and control budgets, maintain financial records, and produce financial reports.; Formulate strategic plans for the institution.; Establish operational policies and procedures and make any necessary modifications, based on analysis of operations, demographics, and other research information.; Provide assistance to faculty and staff in duties such as teaching classes, conducting orientation programs, issuing transcripts, and scheduling events.; Represent institutions at community and campus events, in meetings with other institution personnel, and during accreditation processes.; Prepare reports on academic or institutional data.; Promote the university by participating in community, state, and national events or meetings, and by developing partnerships with industry and secondary education institutions.; Participate in faculty and college committee activities."
"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","Confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems.; Monitor students' progress and provide students and teachers with assistance in resolving any problems.; Recruit, hire, train, and evaluate primary and supplemental staff and recommend personnel actions for programs and services.; Teach classes or courses or provide direct care to children.; Set educational standards and goals and help establish policies, procedures, and programs to carry them out.; Determine the scope of educational program offerings and prepare drafts of program schedules and descriptions to estimate staffing and facility requirements.; Determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.; Direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions.; Prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.; Plan, direct, and monitor instructional methods and content of educational, vocational, or student activity programs.; Review and interpret government codes and develop procedures to meet codes and to ensure facility safety, security, and maintenance.; Review and evaluate new and current programs to determine their efficiency, effectiveness, and compliance with state, local, and federal regulations and recommend any necessary modifications.; Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.; Inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies.; Write articles, manuals, and other publications and assist in the distribution of promotional literature about programs and facilities."
"Education Teachers, Postsecondary","Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Prepare course materials, such as syllabi, homework assignments, and handouts.; Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.; Compile, administer, and grade examinations, or assign this work to others.; Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Supervise students' fieldwork, internship, and research work.; Evaluate and grade students' class work, assignments, and papers.; Prepare and deliver lectures to undergraduate or graduate students on topics such as children's literature, learning and development, and reading instruction.; Initiate, facilitate, and moderate classroom discussions.; Collaborate with colleagues to address teaching and research issues.; Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.; Maintain regularly scheduled office hours to advise and assist students.; Advise students on academic and vocational curricula and on career issues.; Participate in student recruitment, registration, and placement activities.; Maintain student attendance records, grades, and other required records.; Perform administrative duties, such as serving as department head.; Select and obtain materials and supplies, such as textbooks.; Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.; Write grant proposals to procure external research funding."
"Educational, Guidance, and Career Counselors and Advisors","Advise and assist students and provide educational and vocational guidance services.","Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.; Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.; Provide crisis intervention to students when difficult situations occur at schools.; Counsel individuals or groups to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.; Review transcripts to ensure that students meet graduation or college entrance requirements, and write letters of recommendation.; Prepare students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks.; Refer students to outside counseling services.; Refer students to degree programs based on interests, aptitudes, or educational assessments.; Evaluate students' or individuals' abilities, interests, and personality characteristics, using tests, records, interviews, or professional sources.; Provide students with information on topics such as college degree programs and admission requirements, financial aid opportunities, trade and technical schools, and apprenticeship programs.; Conduct follow-up interviews with counselees to determine if their needs have been met.; Instruct individuals in career development techniques, such as job search and application strategies, resume writing, and interview skills.; Assess needs for assistance, such as rehabilitation, financial aid, or additional vocational training, and refer clients to the appropriate services.; Plan and promote career and employment-related programs and events, such as career planning presentations, work experience programs, job fairs, and career workshops.; Attend meetings, educational conferences, and training workshops, and serve on committees.; Teach classes and present self-help or information sessions on subjects related to education and career planning.; Plan and conduct orientation programs and group conferences to promote the adjustment of individuals to new life experiences, such as starting college.; Address community groups, faculty, and staff members to explain available counseling services.; Prepare reports on students and activities as required by administration.; Provide information for teachers and staff members involved in helping students or graduates identify and pursue employment opportunities.; Collaborate with teachers and administrators in the development, evaluation, and revision of school programs and in the preparation of master schedules for curriculum offerings.; Plan, direct, and participate in recruitment and enrollment activities."
